Escola,Pré I,Pré II,Total Pré
EMEI ANELISE ABBOTT RAVAZA,42,0,42
EMEI DENER BRAZ ASSUNCAO,11,14,25
EMEI DR JOAO DE DEUS LIMA GALVAO,50,0,50
EMEI FILOMENA KALIL,40,0,40
EMEI JULIETA VILLAMIL BALESTRO,40,38,78
EMEI MANOELINHA ARAUJO,38,0,38
EMEI MARIA ALVES PERACA,27,0,27
EMEI MARIANINHA LOPES,69,64,133
EMEI NOSSA SENHORA DO CARMO,28,0,28
EMEI PROFESSOR ANALIO,19,15,34
EMEI PROFESSORA IRIA DE JESUS MACHADO,41,0,41
EMEI PROFESSORA ZITA FERRANDO DE VARGAS,53,3,56
EMEI SENADOR DARCY RIBEIRO,44,0,44
EMEI TUPY SILVEIRA,19,16,35
EMEI ANNA MOGLIA,14,13,27
EMEI ZEZE TAVARES,20,20,40